# Sample generated by Stan (Variational Bayes)
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=123
# chain_id=1
# iter=2000
# grad_samples=1
# elbo_samples=100
# output_samples=123
# eval_elbo=50
# eta=1
# tol_rel_obj=0.01
# algorithm=meanfield
# sample_file=/home/irisdaniaj/workspace/vi-midas/results/hyperparameter/100_2_nb_sample.csv
# diagnostic_file=/home/irisdaniaj/workspace/vi-midas/results/hyperparameter/100_2_nb_diag.csv
# append_samples=0
#
# iter,time_in_seconds,ELBO
50,42.4251,-1.44806e+06
100,84.7798,-981568
150,127.237,-832056
200,169.601,-766888
250,211.918,-733574
300,254.199,-710927
350,296.52,-695214
400,338.667,-683334
450,381.449,-674121
500,424.291,-666529
550,466.378,-660270
600,508.467,-654964
650,550.549,-650415
