# Sample generated by Stan (Variational Bayes)
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=356
# chain_id=1
# iter=2000
# grad_samples=1
# elbo_samples=100
# output_samples=122
# eval_elbo=50
# eta=1
# tol_rel_obj=0.01
# algorithm=meanfield
# sample_file=/dss/dsshome1/04/di35van/Workspace/vi-midas/results/hyperparameter/50_1_nb_sample.csv
# diagnostic_file=/dss/dsshome1/04/di35van/Workspace/vi-midas/results/hyperparameter/50_1_nb_diag.csv
# append_samples=0
#
# iter,time_in_seconds,ELBO
50,48.0842,-1.31799e+06
100,96.0997,-900433
150,144.129,-767474
200,192.169,-708646
250,240.235,-675320
300,288.278,-653203
350,336.284,-638021
400,384.303,-626556
450,432.33,-617771
500,480.388,-610625
550,528.404,-604437
600,576.403,-599539
650,624.368,-595021
